Type,Teams (Away @ Home),Location,Date,Time
Senior Boys Soccer Game,Jasper Place  @ Strathcona,Strathcona,"Thu Jun 01, 2023",4:15 pm - 5:45 pm
Senior Boys Soccer Game,Louis St. Laurent  @ Archbishop MacDonald,Archbishop MacDonald,"Thu Jun 01, 2023",4:15 pm - 5:45 pm
Senior Boys Soccer Game,Christ the King  @ Edmonton Islamic,Edmonton Islamic Academy,"Thu Jun 01, 2023",4:15 pm - 5:45 pm
Senior Boys Soccer Game,Austin O'Brien  @ St. Francis Xavier,St. Francis Xavier,"Thu Jun 01, 2023",4:15 pm - 5:45 pm
Senior Boys Soccer Game,Beaumont  @ Dr. Anne Anderson,Dr. Anne Anderson,"Thu Jun 01, 2023",4:15 pm - 5:45 pm
Senior Boys Soccer Game,J Percy Page  @ Eastglen,Eastglen,"Thu Jun 01, 2023",4:15 pm - 5:45 pm
Senior Boys Soccer Game,Leduc  @ Old Scona Academic,Mount Pleasant Soccer,"Thu Jun 01, 2023",4:15 pm - 5:45 pm
Slo-Pitch Game,Lillian Osborne  @ Memorial,Memorial,"Mon Jun 05, 2023",4:15 pm - 5:45 pm
Senior Girls Soccer Game,Harry Ainlay  @ Archbishop MacDonald,Jubilee Park,"Mon Jun 05, 2023",4:15 pm - 5:45 pm
Senior Girls Soccer Game,Archbishop O'Leary  @ Ross Sheppard,Coronation Park Combo Field # 1,"Mon Jun 05, 2023",4:15 pm - 5:45 pm
Senior Girls Soccer Game,Series 6 Winner  @ Mother Margaret Mary,Henry Singer Park Field 11,"Mon Jun 05, 2023",4:15 pm - 5:45 pm
Junior Boys Soccer Game,Series 6 Winner  @ Series 5 Winner,Henry Singer Park Field 9,"Mon Jun 05, 2023",4:15 pm - 5:45 pm
Senior Girls Soccer Game,Series 14 Winner  @ St. Albert,Henry Singer Park Field 12,"Mon Jun 05, 2023",4:15 pm - 5:45 pm
Slo-Pitch Game,St. Albert  @ Jasper Place,Meadowview Ball park,"Mon Jun 05, 2023",4:15 pm - 5:45 pm
Senior Boys Soccer Game,Ross Sheppard  @ Archbishop O'Leary,FC Viktoria Soccer Centre,"Mon Jun 05, 2023",4:15 pm - 5:45 pm
Slo-Pitch Game,Salisbury  @ Ardrossan,Strathcona Athletic Park - Baseball Fields # 2,"Mon Jun 05, 2023",4:15 pm - 5:45 pm
Senior Boys Soccer Game,Queen Elizabeth  @ Harry Ainlay,Harry Ainlay,"Mon Jun 05, 2023",4:15 pm - 5:45 pm
Junior Girls Soccer Game,Series 2 Winner  @ Series 1 Winner,Johnny Bright Sports Park (JP Bowl),"Mon Jun 05, 2023",4:15 pm - 5:45 pm
Senior Boys Soccer Game,Series 6 Winner  @ Series 5 Winner,Henry Singer Park Field 11,"Tue Jun 06, 2023",4:15 pm - 5:45 pm
Senior Boys Soccer Game,Series 14 Winner  @ Series 13 Winner,Henry Singer Park Field 12,"Tue Jun 06, 2023",4:15 pm - 5:45 pm
Senior Boys Soccer Game,Series 10 Winner  @ Series 9 Winner,Higher Seed,"Tue Jun 06, 2023",TBA
Senior Boys Soccer Game,Series 12 Winner  @ Series 11 Winner,Higher Seed,"Tue Jun 06, 2023",TBA
Senior Girls Soccer Game,Holy Trinity  @ Parkland Immanuel Christian,Henry Singer Park Field 11,"Wed Jun 07, 2023",4:15 pm - 5:45 pm
Senior Girls Soccer Game,Series 14 Winner  @ Series 13 Winner,Henry Singer Park Field 12,"Wed Jun 07, 2023",4:15 pm - 5:45 pm
Junior Boys Soccer Game,Series 6 Winner  @ Series 5 Winner,Johnny Bright Sports Park (JP Bowl),"Wed Jun 07, 2023",4:15 pm - 5:45 pm
Senior Boys Soccer Game,Mother Margaret Mary  @ Series 13 Winner,Henry Singer Park Field 11,"Thu Jun 08, 2023",4:15 pm - 5:45 pm
Senior Boys Soccer Game,Series 14 Winner  @ Series 13 Winner,Henry Singer Park Field 12,"Thu Jun 08, 2023",4:15 pm - 5:45 pm
